name,town,category,discontinued
Silvaco A/S,"Krakasvej 10, 3400 Hillerød",Cơ sở bọc màng và tái đóng gói,
"Arla Foods amba, Holstebro Mejeri, Lager","Hjermvej 3, 7500 Holstebro",Kho lạnh bảo quản,
Vendsyssel Gourmet Lager,"Gothersgade 135, kl, 1123 København K",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Maersk Logistics & Services Denmark A/S,"Prinsessens Kvarter 13, 7000 Fredericia",Kho lạnh bảo quản,
Derman A/S,"Sintrupvej 23, 8220 Brabrand",Kho lạnh bảo quản,
SAS Ground Handling A/S,"Petersdalvej 1, Postboks 152, 2770 Kastrup",Kho lạnh bảo quản,
Delidrengene ApS,"Greve Main 9, 2670 Greve",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Kryta Langebjerg 12,"Langebjerg 12, 4000 Roskilde",Cơ sở bọc màng và tái đóng gói,
All Food ApS,"Suså Landevej 29, 4160 Herlufmagle",Kho lạnh bảo quản,
Tesori del gusto meridionale.aps,"Vassingerødvej 141, 1., 3540 Lynge",Kho lạnh bảo quản,
AsiaGo A/S / Fryse og kølecontainer,"Baldersbuen 18, 2640 Hedehusene",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
SPS - Skagen Port Service ApS,"Auktionsvej 14, 9990 Skagen",Kho lạnh bảo quản,
Frugt.dk ApS,"Herstedøstervej 25, 2620 Albertslund",Kho lạnh bảo quản,
Argo Seafood A/S,"Bådebrogade 2, 6700 Esbjerg",Kho lạnh bảo quản,
Kon Food ApS,"Paul Bergsøes Vej 17, 2600 Glostrup",Kho lạnh bảo quản,
Danfoods ApS,"Vejleåvej 54, 2635 Ishøj",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
ECO FOOD PACKAGING ApS,"industrivænget 22B, 4622 Havdrup",Kho lạnh bảo quản,
Lekapharm A/S,"Industrivej 8, 5772 Kværndrup",Cơ sở bọc màng và tái đóng gói,
Fiskelogistik Gruppen A/S,"Nordvej 12, 9900 Frederikshavn",Kho lạnh bảo quản,
Spodsbjerg Fiskerihavn,"Spodsbjerg Havn, 5900 Rudkøbing",Kho lạnh bảo quản,
Danish Crown,"Langbro 7, Blans, 6400 Sønderborg",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở bọc màng và tái đóng gói; Cơ sở tách thịt cơ học (thịt tách xương bằng máy); Cơ sở sơ chế / chuẩn bị thịt; Cơ sở chế biến thịt xay; Nhà máy chế biến,
Himmerlandskød A/S,"Nordre Ringvej 99, 9620 Aalestrup",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay,
OK Snacks A/S,"Holmevej 6, 7361 Ejstrupholm",Cơ sở / xưởng pha lóc (thịt); Nhà máy chế biến,
Danish Crown A/S,"Ndr. Havnevej 1, 6000 Kolding",Cơ sở / xưởng pha lóc (thịt); Kho lạnh bảo quản; Cơ sở sơ chế / chuẩn bị thịt; Cơ sở chế biến thịt xay; Nhà máy chế biến,
Tican Fresh Meat A/S,"Strandvejen 6, 7700 Thisted",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Nhà máy chế biến,
"Svendborg Slagtehus A/S, Slagteri","Porthusvej 75, 5700 Svendborg",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
GLUMSØ SLAGTEHUS APS,"Søvej 5, 4171 Glumsø",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
Danish Pork Meat ApS,"Rugvænget 8, 4200 Slagelse",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Nhà máy chế biến,
DanePork A/S,"Tørskindvej 19, 7183 Randbøl",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Nhà máy chế biến,
Slagter Theilgaard A/S,"Oddesundvej 25, 6715 Esbjerg N",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"JN MEAT ApS, Genz Kød","Elmedalsvej 8, 4200 Slagelse",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Moesgaard Meat 2012 A/S,"Naurvej 3A, 7500 Holstebro",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Nhà máy chế biến,
"Henrik Hansen, Slagteri","Nybyvej 15, 4390 Vipperød",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Stensved Slagtehus ApS , Slagteri","Vådebjergvej 2, 4773 Stensved",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay,
"Bjergstedslagteren ApS, Slagteri","Bjergsted Byvej 5, 4450 Jyderup",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Liselund Gårdbutik, Slagteri","Østerbro 2, 4850 Stubbekøbing",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"OMK Knabstrup ApS, Slagteri","Holbækvej 328, 4440 Mørkøv",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Egtved Slagtehus ApS, Slagteri","Brudesøvej 1, 6040 Egtved",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Nhà máy chế biến,
"Slagtehuset Krämer ApS, Slagteri","Industriparken 4, 4960 Holeby",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Tim Køier Andersen, Slagteri","Skovbovej 1 B, 4700 Næstved",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Øster Hornum Slagtehus, Slagteri","Nibevej 128, 9530 Støvring",Lò giết mổ,
"Slagtergården Als, Slagteri","Smedevænget 16, 6430 Nordborg",Kho lạnh bảo quản; Lò giết mổ,
"Kisbæk Slagteri, Slagteri","Ginegaardsvej 3, 6240 Løgumkloster",Kho lạnh bảo quản; Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Slm. Per Hamkens, Slagteri","Østergade 18, 6630 Rødding",Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Vester Hæsinge Slagterforretning ApS , Slagteri","Birkevej 37, 5672 Broby",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Hårby Slagteren ApS, Slagteri","Den Grønne Vej 1, 8660 Skanderborg",Lò giết mổ,
"Aidt Slagtehus ApS, Slagteri","Bavnehøjvej 1, 8881 Thorsø",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
Sevel Slagteri A/S,"Søgårdvej 28, Sevel, 7830 Vinderup",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Bjerre Kød, Engros, Slagteri","Bjerrevej 346, 8783 Hornsyld",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay; Nhà máy chế biến,
"Slagter Kruse V/Hans Ole Kruse, Slagteri","Tved Bygade 36, 8420 Knebel",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay,
"Tårs Slagtehus, Slagteri","Bredgade 61, 9830 Tårs",Lò giết mổ,
"Mariager Slagtehus, Slagteri","Havnegade 5, 9550 Mariager",Lò giết mổ,
"Landmand Ole Toft Thøgersen, Slagteri","Næssundvej 362, 7960 Karby",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Nr. Onsild Slagterhus ApS, Slagteri","Rævebakken 2, 9500 Hobro",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
BC Catering Skanderborg A/S,"Niels Bohrs Vej 20, 8660 Skanderborg",Kho lạnh bảo quản,
Nørmark Meat ApS,"Englandsvej 7, 7100 Vejle",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Leif Henriksen spegepølser og røgvarer,"Kragemosevej 5, 4200 Slagelse",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
AaD Drift ApS,"Lundvej 8, 7400 Herning",Kho lạnh bảo quản,
Gert Nielsen A/S,"Stamholmen 140B, 2650 Hvidovre",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
BF-OKS A/S,"Mejerivej 14, 5874 Hesselager",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Öxneholm A/S,"Søndre Mellemvej 48, 4000 Roskilde",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Silkeborg Slagteren A/S,"Hagemannsvej 10, 8600 Silkeborg",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
NR. SØBY KØD ENGROS A/S,"Nymarksgyden 5, Nr. Lyndelse, 5792 Årslev",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Aarhus Kødengros ApS,"Viaduktvej 7, 8260 Viby J",Cơ sở bọc màng và tái đóng gói; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
TOFTS RØGERI,"Hasselvej 2A, 4780 Stege",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Ravsted Slagteri ApS, Slagteri","Ravsted Storegade 35, 6372 Bylderup-Bov",Kho lạnh bảo quản; Lò giết mổ,
Kødgrossisten,"Industrivænget 16, 4241 Vemmelev",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
HB Kødgros Aps,"Kirstinehøj 75, 2770 Kastrup",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
Jensens Skinker,"Grøftevej 4, 4180 Sorø",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Nhà máy chế biến,
DANKØD EN GROS SLAGELSE APS,"Matildevej 4, 4200 Slagelse",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Slagter Galsgaard, Slagteri","Industriarealet 40, 6990 Ulfborg",Lò giết mổ,
Bøje Kød Engros ApS,"Kirstinehøj 75, 2770 Kastrup",Cơ sở bọc màng và tái đóng gói; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
RANDERS KØD ENGROS ApS,"Haraldsvej 60, 8960 Randers SØ",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
Tayyib Food ApS,"Hassellunden 11B, 2765 Smørum",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
"Hjallerup Slagtehus, Slagteri","Hornshøjvej 53, 9320 Hjallerup",Lò giết mổ,
MB FOOD A/S,"Korskildeeng 3, 2670 Greve",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống,
"DANISH FOOD COMPANY SLAGELSE A/S, BEST BEEF","Kongstedvej 2F, 4200 Slagelse",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt),
"Harald Hansens Eftf. I/S, Slagteri","Fabriksvangen 27, 3550 Slangerup",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay,
Uni Catering ApS,"Engmarken 6, 8220 Brabrand",Cơ sở / xưởng pha lóc (thịt),
Mina Istanbul Kebab Produktion ApS,"Smedeland 36, 2600 Glostrup",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt,
Hørkram Foodservice A/S,"Torshøjvej 59, 8362 Hørning",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở bọc màng và tái đóng gói; Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến,
AB CATERING A/S,"Kystvejen 80, 9400 Nørresundby",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Nordthy Meat ApS,"Trehøjevej 29, 7200 Grindsted",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Tistrup Slagtehus ApS, Slagteri","Frejasvej 13, 6862 Tistrup",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
Centralkøkkenet Aarhus Universitetshospital,"Carl Krebs' Vej 36, 8200 Aarhus N",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Slawteren i Tørring, Slagteri","Bruuns Plantage Vej 1, 8970 Havndal",Lò giết mổ,
Scan Meat Aps,"Matildevej 6, 4200 Slagelse",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Hilton Foods Danmark A/S,"Brunagervej 2, 8361 Hasselager",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
"Kibæk Slagterhus , Slagteri","Velhustedvej 39, 6933 Kibæk",Lò giết mổ,
Rævhede,"Sandmosevej 84, 9440 Aabybro",Cơ sở bọc màng và tái đóng gói; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Det vilde slagtehus og gårdbutik, Slagteri","Kær Møllevej 95, 6094 Hejls",Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Skallebølle Slagtehus A/S, Slagteri","Odensevej 153, 5492 Vissenbjerg",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
Demca ApS,"Sintrupvej 23, 8220 Brabrand",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay,
"DK Kød Aps, Slagteri","Lindtorpvej 3, 7600 Struer",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"V.Åby Slagterforretning, Slagteri","Svendborgvej 412, 5600 Faaborg",Kho lạnh bảo quản; Lò giết mổ,
Holmegaards DELI ApS,"Glasmagervej 23, 4684 Holmegaard",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Køkkenområdet Hjørring Kommune,"M. P. Kofoeds Vej 1, 9800 Hjørring",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Nhà máy chế biến,
"Slagter Sørensen ApS, Slagteri","Fabriksvej 14, 6920 Videbæk",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Toftnæs Slagtehus, Slagteri","Toftnæsvej 30, 6800 Varde",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
DMRI Pilot plant - Teknologisk Institut,"Gregersensvej 9, 2630 Taastrup",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Djurs Slagtehus, Slagteri","Hovedgaden 28, 8961 Allingåbro",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
"Sæby Gårdslagteri I/S, Slagteri","Aalborgvej 108, 9300 Sæby",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
Tamaco A/S,"Brunagervej 1, 8361 Hasselager",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
"Slagter Engdahl, Slagteri","Industriparken 10, 4960 Holeby",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
Hvidebæk Slagteri,"Industrivej 17 D, 4490 Jerslev Sjælland",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Troldgaarden ApS, Slagteri","Troldkirkevej 4, 8732 Hovedgård",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"SLAGTER ENGDAHL ApS, Pølsemageri","Industriparken 10, 4960 Holeby",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Nordvildt ApS, Slagteri","Horserød Byvej 2A, 3000 Helsingør",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
Økogårdene Skjern Enge ApS.,"Feldsingvej 3, 6900 Skjern",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Nhà máy chế biến,
"Hallegaard Pølsemageri og Gårdbutik, Slagteri","Aspevej 3, 3751 Østermarie",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Techcollege Slagteri, Slagteri","Struervej 70, 9220 Aalborg Øst",Lò giết mổ,
ZBC Pølsemageri,"Maglegårdsvej 8, 4000 Roskilde",Cơ sở / xưởng pha lóc (thịt); Nhà máy chế biến,
"Grambogård, Slagteri","Ellehaven 55, 5690 Tommerup",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay,
"LF Vildt og Fjerkræslagteri ApS, Slagteri","Linkøpingvej 33, 4900 Nakskov",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
Birthesminde Salg ApS,"Tempelvej 14, 4390 Vipperød",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Slagterbob ApS,"Industrigrenen 21, 2635 Ishøj",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Edderup Slagteri ApS, Slagteri","Havndalvej 44, 9550 Mariager",Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Thy Slagtehus ApS, Slagteri","Høgevej 3, 7700 Thisted",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
Kødkrogen,"Gunnar Clausens Vej 13A, st, 8260 Viby J",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Vendsyssel Fjerkræslagteri ApS, Engros","Lyngbyvej 120, 9480 Løkken",Cơ sở bọc màng và tái đóng gói; Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay,
"Holsted Kød Aps, engros","Energivej 22, 6670 Holsted",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
GB MEAT GROUP Hadsund,"Gl Visborgvej 51, 9560 Hadsund",Cơ sở bọc màng và tái đóng gói; Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt,
Steensgaard Produktion,"Steensgaard 3, 5642 Millinge",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Slagterens Gårdbutik, Slagteri","Gl. Viborgvej 86, 9620 Aalestrup",Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Neqi A/S, Slagteri","Fiskervej B 99, Postboks 69, 3921 Narsaq",Kho lạnh bảo quản; Lò giết mổ,
JP Dynasty ApS,"Slagtehusgade 40, 1, 1715 København V",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống,
Mix Food ApS,"Månevej 7, 3550 Slangerup",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
Moert,"Mejerivej 7, 9640 Farsø",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
Cater Food A/S,"Europavej 22, 7430 Ikast",Cơ sở / xưởng pha lóc (thịt); Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Danpo A/S, Danpo A/S","Vestre Skovvej 3, 9600 Aars",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay; Cơ sở tách thịt cơ học (thịt tách xương bằng máy); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Rose Poultry A/S, Vinderup","Tværmosevej 10, 7830 Vinderup",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay; Cơ sở tách thịt cơ học (thịt tách xương bằng máy); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"Vendsyssel Fjerkræslagteri ApS, Slagteri","Lyngbyvej 120, 9480 Løkken",Kho lạnh bảo quản; Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
GRÅSTEN FJERKRÆ A/S,"Kværsgade 18, 6300 Gråsten",Cơ sở / xưởng pha lóc (thịt); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
DAFC A/S,"Skanderborgvej 19, 8751 Gedved",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Ejvang Øko, Slagteri","Tingstedvej 38, 4350 Ugerløse",Kho lạnh bảo quản; Lò giết mổ,
Rokkedahl Food Aps,"Vårvej 65, 9240 Nibe",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
"Hopballe Gårdslagteri, Slagteri","Hopballevej 56, 7300 Jelling",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở chế biến thịt xay; Cơ sở sơ chế / chuẩn bị thịt,
"Råde Fjerkræfarm, Slagteri","Raade Bygade 21, 6100 Haderslev",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Vesterborg vildt og fjerkræslagteri , Slagteri","Gallemosevej 6, 4953 Vesterborg",Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Finn Hansen, Slagteri","Skodsbølvej 71, 6310 Broager",Kho lạnh bảo quản; Lò giết mổ,
"Dalsgaard og Barsøe Agro I/S, Slagteri","Kabdrupvej 49, 6100 Haderslev",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ,
"Alpevej Vildtbehandling, Slagteri","Alpevej 4, 5771 Stenstrup",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Galgebakkens Hjortefarm, Slagteri","Galgebakkevej 4, 7755 Bedsted Thy",Lò giết mổ; Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Klosterhedens Vildt A/S, Slagteri","Holmgaardvej 49, 7660 Bækmarksbro",Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt); Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
"Faldhøje Plantage, Slagteri","Skovsendevej 2, 7200 Grindsted",Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"Vrøgum Vildt, Slagteri","Hedelundvej 9 B, 6840 Oksbøl",Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp),
"KALU A/S, Slagteri","Saltøvej 118, 4700 Næstved",Cơ sở / xưởng pha lóc (thịt); Cơ sở xử lý thịt thú săn (thịt rừng hợp pháp); Cơ sở chế biến thịt xay,
Top Food,"Sønderbro 21, 9881 Bindslev",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
"ROSE Poultry A/S, Skovsgaard","Elmegårdsvej 4, 9460 Brovst",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở tách thịt cơ học (thịt tách xương bằng máy); Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Delika Aarhus A/S,"Gunnar Clausens Vej 13 A, 8260 Viby J",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Fabrikken Lepo A/S,"Baldersbuen 7, 2640 Hedehusene",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
Royal Leverpostej,"Rokhøj 24, 8520 Lystrup",Cơ sở sơ chế / chuẩn bị thịt; Nhà máy chế biến,
