name,town,category,discontinued
"AB Catering Aarhus A/S, Terminal","Beta 1, Søften, 8382 Hinnerup",Kho lạnh bảo quản,
EUROSAMA ApS,"Læsøvej 7, 8382 Hinnerup",Kho lạnh bảo quản,
"Centrallager, Legoland Aps, Mad og Drikke","Højmarksvej 20, 7190 Billund",Kho lạnh bảo quản,
Wrist Europe - Aalborg,"Stigsborgvej 60, 9400 Nørresundby",Kho lạnh bảo quản,
PJ Distribution A/S,"Priorsvej 31, 8600 Silkeborg",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Sophiendal ApS grossist,"Låsbyvej 82, 8660 Skanderborg",Kho lạnh bảo quản,
AB Catering Ribe A/S,"Ole Rømers Vej 6, 6760 Ribe",Kho lạnh bảo quản,
Polar Seafood A/S,"Vagervej 9, 6700 Esbjerg",Kho lạnh bảo quản,
Hirtshals Havn,"Norgeskajen 11, 9850 Hirtshals",Kho lạnh bảo quản,
Grøn Fokus A/S,"Karolinevej 6, 4200 Slagelse",Kho lạnh bảo quản,
Lundsøe Køl og Frys,"Oceanvej 8A og 8B, 8000 Aarhus C",Kho lạnh bảo quản,
BC Catering Roskilde A/S,"Langebjerg 17, 4000 Roskilde",Kho lạnh bảo quản,
Dagrofa Foodservice,"Vejleåvej 13, 2635 Ishøj",Kho lạnh bảo quản,
"Constellation Cold logistics DK East A/S, Lagerhotel","Sleipnersvej 1, 4600 Køge",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
DFDS Padborg,"Industrivej 6, 6330 Padborg",Kho lạnh bảo quản,
Eimskip Denmark A/S,"Østhavnsvej 37 A, 8000 Aarhus C",Kho lạnh bảo quản,
Gastro Import Logistics ApS,"Kanalholmen 15-19, 2650 Hvidovre",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
"Samskip A/S, Toldservice A/S","Vandvejen 7, 2, 8000 Aarhus C",Kho lạnh bảo quản,
Arla Foods Ferskvareterminal,"Karolinevej 1, 4200 Slagelse",Kho lạnh bảo quản,
Scandic Pelagic A/S,"Havnevagtsvej 7, 9990 Skagen",Kho lạnh bảo quản; Nhà máy chế biến,
Emin Food ApS,"Møllevej 9K, 4, 2990 Nivå",Kho lạnh bảo quản,
