stt,ten_cong_ty,ma_phe_duyet,ma_nganh,ten_nganh,hoat_dong,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat,ghi_chu,traces_url
133,UAB Judex,19-33,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Europos pr. 96C, Kaunas",Kaunas,LT-46351,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
134,UAB Jurbarkų mėsa,LT 94-04 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Daržų g. 10, Jurbarkų k.,  Jurbarkų sen., Jurbarko r. sav., Tauragės apskr.",Jurbarkai,LT-74112,Taurage County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
135,UAB Jurginų mėsa,LT 81-304 M,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Jurįginų k., Deltuvos sen.",Jurginai,LT-20126,Vilnius County,Lithuania,2021-03-22,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
136,UAB KAIMIŠKAS DŪMAS,77-32,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant,"Tauragės apskr., Tauragės r. sav., Tauragės sen., Dacijonai",Dacijonai,,Taurage County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
137,UAB Kadaginė,LT 41-019 M,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Varniškių k. , Riešės sen., Vilniaus r.",Varniškė,,Vilnius County,Lithuania,2021-03-25,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
138,UAB Karališka kibininė,LT 79-06,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,Sausiai,Sausiai,LT-21401,Vilnius County,Lithuania,2021-03-26,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
139,UAB Liūtukas ir Ko,19-30,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Alovės g. 15, Kaunas",Kaunas,LT-46344,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
140,UAB MILTINUKO RECEPTAS,LT 47-10,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Sodų g. 2, Ziniūnai, Joniškio r. sav.",Ziniūnai,LT-84143,Siauliai County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
141,UAB Medrokis,LT 01-24,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant,"Eišiškių pl. 127, Vilnius",Vilnius,02189,Vilnius County,Lithuania,2021-03-22,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
142,UAB Modepa,LT 01-28 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,Strazdų g. 4,Vilnius,LT-14158,Vilnius County,Lithuania,2021-03-25,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
143,UAB Olkusjana,LT 85-18,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,Lydos g. 32,Jasiūnai,LT-17247,Vilnius County,Lithuania,2021-10-13,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
144,UAB RIMI LIETUVA,01-41,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Saltoniškių g. 9, Vilnius",Vilnius,08105,Vilnius County,Lithuania,2021-03-16,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
145,UAB RIMI LIETUVA,LT 01-40 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,Žirmūnų g. 64,Vilnius,09117,Vilnius County,Lithuania,2021-03-25,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
146,UAB Ramvida,19-01,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Draugystės g.19, Kaunas",Kaunas,LT-51230,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
147,UAB Ratutela,19-14,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Veiverių g. 151, Kaunas",Kaunas,LT-46417,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
148,UAB Raučulys,52-08,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Čekiškės g. 86, Vilkija, Kauno raj.",Vilkija,LT-54221,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
149,UAB Revijoma,61-04,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant; MP - Meat Preparation Plant,"Viekšnių g. 33, Užventes km. Viekšniu sen. Mažeikių r. sav., Telšių apskr.",Užventes k.,LT-89494,Telsiai County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
150,UAB Rimi Lietuva,19-09,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant; MP - Meat Preparation Plant,"Islandijos pl. 32, Kaunas",Kaunas,LT-47446,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
151,UAB SINANO KEBABAI,LT 01-066 M,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,A. Basanavičiaus g. 37,Vilnius,03100,Vilnius County,Lithuania,2021-03-25,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
152,UAB SKONIO PASLAPTIS,LT 41-07 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,Vaikystės g. 2,Avižieniai,,Vilnius County,Lithuania,2021-03-25,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
153,UAB Stoniškių žara,88-33,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant,"Tauragės apskr., Pagėgių sav., Stoniškių sen., Rukai, Vilties g. 1",Rukai,LT-99290,Taurage County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
154,UAB Tradita,LT 85-17,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,Naujoji g.11,Mantviliškės,LT-17161,Vilnius County,Lithuania,2021-03-26,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
155,UAB VALDARAGIS,LT 34-04 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Ateities g. 2  Katlėriai Skiemonių sen, Anykščių sen",Anykšciai,29147,Utena County,Lithuania,2021-03-30,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
156,UAB Vesta inter,19-02,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Ateities pl.34, Kaunas",Kaunas,LT-52165,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
157,UAB Švaistūnas,19-08,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant; MP - Meat Preparation Plant,"Vandžiogalos pl. 98, Kaunas",Kaunas,LT-47470,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
158,UAB „Gardama“,LT 88-07 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Liepų g. 2, Gardamas, LT-99417 Šilutės r.",Gardamas,LT-99417,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
159,UAB „Gilanda“,LT 88-03 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Šilojų g. 2A, Traksėdžių k., LT-99106 Šilutės r.",Traksėdžiai,LT-99104,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
160,UAB „Pas Virgą“,LT 88-09 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Pergalės a. 2, Žemaičių Naumiestis, LT-99206 Šilutės r.",Žemaičių Naumiestis,LT-99207,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
161,"UAB,,D. Gelombickienė ir partneriai""",LT49-03EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Šlaito aklg. 2, Rumšiškių mstl., Kaišiadorių r. sav.",Dovainonys,LT-56335,Kaunas County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
162,"UAB“Aisytės Mėsinė""",LT88-08 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,"Klaipėdos apskr., Šilutės r. sav., Saugų sen., Sakūtėliai, Žolynų g. 8",Sakūtėliai,LT-99402,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
163,"Utenos prekyba, UAB",82-03,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant,Molėtų g. 72,Utena,28135,Utena County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
164,V. Vinckevičiaus PĮ,LT 79-004 V,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,Trakų g. 13,Rūdiškės,LT-21171,Vilnius County,Lithuania,2021-03-26,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
165,VALERIJOS DUKNAUSKIENĖS IĮ,LT 81-301M,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,Aušros g. 31,Ukmergė,LT-20133,Vilnius County,Lithuania,2021-06-21,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
166,Vladislav Bojarun,LT 85-01,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,Lakštingalų g. 4,Buikų k.,LT-17245,Vilnius County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
167,Z.Selsko firma „Germėsa“,LT 79-14,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,Liepų  g. 40,Vievis,LT-31383,Vilnius County,Lithuania,2021-03-22,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
168,Ūkininkas Donatas Čepelis,LT 81-303 M,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant,Vidiškių sen.Baublių k.,Baubliai,LT-20179,Vilnius County,Lithuania,2021-03-22,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
169,Ūkininkas Eimantas Vasiliauskas,61-10,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant,"A. Baranausko g. 12A, Mažeikiai, Mažeikių sen., Mažeikių r. sav., Telšių apskr.",Mažeikiai,LT-89224,Telsiai County,Lithuania,2021-03-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
170,Ūkininkas Ladas Katinas,LT 34-05 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MM - Minced Meat Plant; MP - Meat Preparation Plant,Žvejų g. 76A Anykščiai,Anykšciai,29147,Utena County,Lithuania,2021-03-30,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
171,Ūkininkas Vladas Baltuonis,LT 56-07 EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Paukščių g. 9 Kalniškių k., LT-97319 Kretingos r. sav.",Kartena,LT-97340,Klaipeda County,Lithuania,2021-03-22,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
172,Ūkininko Audriaus Banionio ūkis,52-07,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Kepyklos g. 8, Margininkų k., Taurakiemio sen., Kauno raj.",Margininkai,LT-53180,Kaunas County,Lithuania,2021-03-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
173,Žemės ūkio kooperatyvas SARTŲ LANKŲ JAUTIENA,LT43-01EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Akmens g. 6-2, Samanių k., Suvieko sen., Zarasų r. sav.",Zarasai,LT-32110,Utena County,Lithuania,2022-02-23,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
174,"ŽŪB ,,Nematekas""",LT49-04EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Rusonių g.19, Dovainonių k., Rumšiškių sen., Kaišiadorių r. sav.",Dovainonys,LT-56335,Kaunas County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
175,"ŽŪB ,,Nematekas""",LT49-06EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MSM - Mechanically Separated Meat Plant,"Uolės g. 10, Dovainonių k., Rumšiškių sen., Kaišiadorių r. sav.",Dovainonys,LT-56335,Kaunas County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
176,ŽŪK DUSETŲ KRAŠTO GASPADORIAI,LT43-06EB,MM,"Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Vytauto g. 70, Dusetos, Zarasų r. sav.",Dusetos,LT-32309,Utena County,Lithuania,2022-02-23,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/MINCED_MEAT_EU
177,"AB ""Išlaužo žuvis""",LT-69-01 EB,FFP,Fishery products - EU,PP - Processing Plant,"Šaltupio g. 31, Šaltupis, Prienų r.",Šaltupis,LT-59302,Kaunas County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
178,"AB ""Limarko Laivininkystės Kompanija"" Transportinis Refrižeratorius ""CASSIOPEA""",LT 21-16 EB,FFP,Fishery products - EU,RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
179,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""AURIGA""",LT21-34EB,FFP,Fishery products - EU,RV - Reefer Vessel,"Naujoji Uosto g. 8,LT-92125 Klaipėda,  Lietuva",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-05-21,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
180,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""CAPELLA""",LT 21-19 EB,FFP,Fishery products - EU,RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
181,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""LIBRA""",LT 21-13 EB,FFP,Fishery products - EU,RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
182,Albertas Davidavičius,LT 42-010 Ž,FFP,Fishery products - EU,FFPP - Fresh Fishery Products Plant,"Elektrėnų sav., Vievio sen., Zabakos k.",Zabaka,LT-21381,Vilnius County,Lithuania,2021-03-22,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
183,Arūno Raulinavičiaus PĮ,LT 41-012 Ž,FFP,Fishery products - EU,FFPP - Fresh Fishery Products Plant,Vanaginės k.,Vanaginė,,Vilnius County,Lithuania,2021-03-26,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
184,CAPELLA“ Reefer Vessel RV,21-19,FFP,Fishery products - EU,ZV - Freezer Vessel,CAPELLA“ Reefer vessel RV,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
185,Espersen Lietuva UAB,LT 21-15 EB,FFP,Fishery products - EU,PP - Processing Plant,"Pramonės g. 15, LT-94102 Klaipėda",Klaipėda,LT-94102,Klaipeda County,Lithuania,2021-03-12,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
186,"Fish Processing Net, UAB",79-09,FFP,Fishery products - EU,WM - Wholesale Market; FFPP - Fresh Fishery Products Plant,"Tarpupio g. 29, Mamavio k., Trakų r. sav.",Mamavys,LT-21169,Vilnius County,Lithuania,2025-10-14,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
187,"G. Kanaševičiaus PĮ ,,Desė""",LT49-08EB,FFP,Fishery products - EU,PP - Processing Plant,"Naujažerio g. 2A, Žaslių mstl., Žaslių sen., Kaišiadorių r. sav.",Naujažeris,LT-56413,Kaunas County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
188,"GL ""JŪROS VILKAS"" FV",21-32,FFP,Fishery products - EU,FV - Factory Vessel,Ukmergės g. 14,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
189,"GL ""KARALIUS"" FV",21-31,FFP,Fishery products - EU,FV - Factory Vessel,Ukmergės g. 14,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
190,Gelena Brokartienė,LT 79-007 Ž,FFP,Fishery products - EU,FFPP - Fresh Fishery Products Plant,Vilniaus mažoji g. 2B,Trakai,LT-21117,Vilnius County,Lithuania,2021-03-26,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
191,L. Šemetulskio IĮ,LT 55-31 EB,FFP,Fishery products - EU,PP - Processing Plant,"Draugystės g. 13, Girkaliai, Klaipėdos r.",Girkaliai,LT-00100,Klaipeda County,Lithuania,2021-03-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
192,MB Aksnita,LT 01-074 Ž,FFP,Fishery products - EU,PP - Processing Plant,Liepkalnio g. 188,Vilnius,LT-08200,Vilnius County,Lithuania,2021-03-25,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
193,MB Dumus,LT 01-107 Ž,FFP,Fishery products - EU,PP - Processing Plant,Juodasis kelias 30,Vilnius,11346,Vilnius County,Lithuania,2021-03-25,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
194,MB Grundalas,LT66-33 EB,FFP,Fishery products - EU,PP - Processing Plant,"Tilvyčio g. 124, Vaišvilčių II k., LT-38292",Vaišvilčiai II,LT-38365,Panevezys County,Lithuania,2021-03-16,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
195,MB Mantų statyba,19-18,FFP,Fishery products - EU,PP - Processing Plant,"Jonavos g. 68, Kaunas",Kaunas,LT-44181,Kaunas County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
196,MB PISCATOR,53-12,FFP,Fishery products - EU,PP - Processing Plant,"Parko g., 15C, Akademijos mst., Dotnuvos sen., Kėdainių r.",Akademija,LT-58344,Kaunas County,Lithuania,2021-03-18,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
197,MB Ungurio koja,LT 01-089 Ž,FFP,Fishery products - EU,PP - Processing Plant,Meistrų g. 11,Vilnius,02189,Vilnius County,Lithuania,2021-03-26,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
198,Rytis Matuliauskas,LT 01-102 Ž,FFP,Fishery products - EU,PP - Processing Plant,Šlamučių g. 20,Vilnius,10013,Vilnius County,Lithuania,2021-03-26,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
199,"UAB "" Dige""",61-09,FFP,Fishery products - EU,PP - Processing Plant,"Laukų 2K, Tirkšliai, Mažeikių r. sav,. Telšių apskr.",Tirkšliai,LT-89330,Telsiai County,Lithuania,2021-03-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
200,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" laivas šaldytuvas JOGVAN I",LT21-44,FFP,Fishery products - EU,ZV - Freezer Vessel,Pylimo g. 4,Klaipėda,LT-91249,Klaipeda County,Lithuania,2026-08-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
201,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" laivas šaldytuvas MARGIRIS",LT 21-11 EB,FFP,Fishery products - EU,ZV - Freezer Vessel; FV - Factory Vessel; FS - Fishing Vessel,"Pylimo g. 4, LT-91249, Klaipėda",Klaipėda,LT-91249,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
202,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" Žuvų Perdirbimo Laivas ""Nida""",LT 21-05 EB,FFP,Fishery products - EU,ZV - Freezer Vessel; FV - Factory Vessel,"Pylimo g. 4, LT-91249, Klaipėda",Klaipėda,LT-91249,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
203,"UAB ""Baltlanta"" Žvejybinis Laivas ""IEVA SIMONAITYTĖ""",LT 21-27 EB,FFP,Fishery products - EU,FV - Factory Vessel; ZV - Freezer Vessel; FS - Fishing Vessel,"Liepų g. 48B, LT-92107 Klaipėda",Klaipėda,LT-92107,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
204,"UAB ""Baltlanta"" Žvejybinis Laivas ""Simonas Daukantas""",LT 21-26 EB,FFP,Fishery products - EU,FS - Fishing Vessel; ZV - Freezer Vessel; FV - Factory Vessel; RV - Reefer Vessel,"Liepų g. 48B, LT-92107 Klaipėda",Klaipėda,LT-92107,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
205,"UAB ""DVARO ŽUVYS""",LT 84-04,FFP,Fishery products - EU,PP - Processing Plant,"Žeimio k., Kriūkų sen., Šakių r. sav.",Žeimis,LT-71207,Marijampole County,Lithuania,2021-03-09,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
206,"UAB ""Dauparų Žuvis""",LT 88-04 EB,FFP,Fishery products - EU,PP - Processing Plant,"Šilo g. 7, LT-99149, Šilutė",Šilute,99149,Klaipeda County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/FISHERY_PRODUCTS_EU
