stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
392,UAB Ledo broliai,520001620; 190011360,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-18
393,UAB Lestvus,LT 01-098 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Gurių g. 129,Vilnius,11346,Vilnius County,Lithuania,2021-03-26
394,UAB Lidl Lietuva,520001867,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Erdvės g. 41, Ramučių k., Karmėlavos sen., Kauno  r.",Kaunas,LT-54469,Kaunas County,Lithuania,2021-09-07
395,UAB Litcargus,52-28,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,"Oro uosto g. 4, Karmėlava, Kauno r.",Karmėlava,LT-54460,Kaunas County,Lithuania,2021-03-19
396,UAB Liūtukas ir Ko,19-30; 190011840,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU)",MP - Meat Preparation Plant | WM - Wholesale Market,"Alovės g. 15, Kaunas",Kaunas,LT-46344,Kaunas County,Lithuania,2021-03-19
397,UAB Lukšių pieninė,190003605,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
398,UAB Lupra,LT29-02,1,RPM (Meat products),PP - Processing Plant,Girulių g. 24,Šiauliai,78136,Siauliai County,Lithuania,2021-03-17
399,UAB M Logistika,01-13,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,Kirtimų g. 57B,Vilnius,02244,Vilnius County,Lithuania,2021-03-10
400,UAB MAISTO ARSENALAS,53-10,1,RPM (Meat products),PP - Processing Plant,"Pašilėlės g.3, Pavermenio k., Truskavos sen., Kėdainių r.",Pavermenys,LT-58466,Kaunas County,Lithuania,2021-03-18
401,UAB MARIJAMPOLĖS PIENO KONSERVAI,LT 51-04 P EU; LT 18-01P EU,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Vytauto g. 74, Kalvarija",Kalvarija,LT-69223,Marijampole County,Lithuania,2026-05-05
402,UAB MARNISTA,190010860,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Jonavos g. 196",Kaunas,LT-44136,Kaunas County,Lithuania,2021-03-18
403,UAB MEGA,190010494,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
404,UAB MEGA BALTIC,130016837,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Servečės g. 1, LT-02121 Vilnius",Vilnius,LT-02121,Vilnius County,Lithuania,2024-08-02
405,UAB MERCADO PREKYBA,190011162,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno m. sav., Kaunas, B. Brazdžionio g. 21",Kaunas,LT-48184,Kaunas County,Lithuania,2021-03-19
406,UAB MEST FOOD,520001676,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-19
407,UAB MILTINUKO RECEPTAS,LT 47-10,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Sodų g. 2, Ziniūnai, Joniškio r. sav.",Ziniūnai,LT-84143,Siauliai County,Lithuania,2021-03-18
408,UAB MIglūnas,LT 69-04 EB,1,RPM (Meat products),PP - Processing Plant,Kauno pl.78,Liepalotas,LT-59147,Kaunas County,Lithuania,2021-03-17
409,UAB MP Partneriai,520001636,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Karmėlavos sen., Biruliškių k., Terminalo g. 6",Kaunas,LT-54469,Kaunas County,Lithuania,2021-03-18
410,UAB Maisto namai,LT27-04 EB,1,RPM (Meat products),PP - Processing Plant,"Beržų g. 44, LT-36144",Panevežys,35100,Panevezys County,Lithuania,2021-03-16
