stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
471,UAB SALDOGA,LT 72-03; 52-38; 52-16,1,FFP (Fishery products - EU),PP - Processing Plant,"Pramonės g. 3, Raseinių sen.",Gabšiai,LT-60180,Kaunas County,Lithuania,2024-02-28
472,UAB SANITEX,520001016,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Alšėnų sen., Kampiškių k., Alšėnų g. 8",Alšėnai,LT-53303,Kaunas County,Lithuania,2021-12-13
473,UAB SANJAGA,46-10,1,RPM (Meat products),PP - Processing Plant,"Kauno apskr. Jonavos r. sav., Jonavos miesto sen., Jonava, Fabriko g. 3",Jonava,LT-55111,Kaunas County,Lithuania,2021-03-18
474,UAB SAUVA,520000869,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Neveronių sen., Neveronys",Neveronys,LT-54481,Kaunas County,Lithuania,2021-03-18
475,UAB SBE,LT 62-01 EB,1,"CAS (Treated stomachs, bladders and intestines: casings only)",PP - Processing Plant,"Suojos g. 5, Runionių k., Alantos sen., Molėtų r. sav.",Runionys,LT-33315,Utena County,Lithuania,2025-03-18
476,UAB SENASIS MALŪNAS,87-01,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Bažnyčios g. 1, 75102 Balsiai, Šilalės kaimiškoji sen., Šilalės r. sav.",Šilalė,,Taurage County,Lithuania,2021-10-20
477,UAB SINANO KEBABAI,LT 01-066 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,A. Basanavičiaus g. 37,Vilnius,03100,Vilnius County,Lithuania,2021-03-25
478,UAB SKONIO PASLAPTIS,LT 41-07 EB,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Vaikystės g. 2,Avižieniai,,Vilnius County,Lithuania,2021-03-25
479,UAB SMILGIAI,18-060,1,RPM (Meat products),PP - Processing Plant,"Parko g. 3, Smilgių k., Sasnavos sen., Marijampolės sav.",Smilgiai,LT-69481,Marijampole County,Lithuania,2022-03-31
480,UAB Saldukas,41-04,1,GEN (General activity establishment - EU),RW - Re-wrapping Establishment; WM - Wholesale Market,Pušų g. 9,Kalviškių k.,LT-14105,Vilnius County,Lithuania,2021-06-22
481,UAB Samsonas,190007584; 19-11; LT 84-07,2,GEN (General activity establishment - EU) | RPM (Meat products),WM - Wholesale Market | CS - Cold Stores; RW - Re-wrapping Establishment | PP - Processing Plant,"Europos pr. 36, Kaunas",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-19
482,UAB Santamed,52-29,1,GEN (General activity establishment - EU),RW - Re-wrapping Establishment,"Liepų g. 9, Linksmakalnis, Kauno r.",Linksmakalnis,LT-59302,Kaunas County,Lithuania,2021-03-19
483,UAB Sauda,52-04,1,GEN (General activity establishment - EU),RW - Re-wrapping Establishment,"Pramonės g. 11, Stanaičių k., Kauno r.",Stanaičių k.,LT-53285,Kaunas County,Lithuania,2021-03-19
484,UAB Saudona LT,520001515,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Politechnikos g. 219, Naujasodžio k., Karmėlavos sen., Kauno r.",Kaunas,LT-49107,Kaunas County,Lithuania,2021-03-19
485,UAB Scandinavian Seafood Factory,LT 85-03,2,GEN (General activity establishment - EU) | RPM (Meat products),RW - Re-wrapping Establishment; CS - Cold Stores | PP - Processing Plant,Vilniaus g. 3,Šalčininkai,LT-17102,Vilnius County,Lithuania,2021-04-12
486,UAB Seafood Market LT,01-57,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),WM - Wholesale Market | RW - Re-wrapping Establishment; CS - Cold Stores,"Servečės g. 2, Vilniaus m. sav.",Vilnius,LT-02121,Vilnius County,Lithuania,2026-06-18
487,UAB Sedva,19-12,1,RM (Meat of domestic ungulates),CP - Cutting Plant,"Europos pr. 106 A, Kaunas",Kaunas,LT-46351,Kaunas County,Lithuania,2021-03-17
488,UAB Senolių alksnynė,52-05,1,RPM (Meat products),PP - Processing Plant,"Plento g. 13, Ramučiai, Kauno raj.",Ramučiai,LT-54464,Kaunas County,Lithuania,2021-03-16
489,UAB Senolių gardumynai,52-06,1,RPM (Meat products),PP - Processing Plant,"Varluvos g. 9, Varluvos k., Kauno raj.",Varluva,LT-54341,Kaunas County,Lithuania,2021-03-16
490,UAB Skaistės mėsa,19-22,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Marijampolės pl. 14, Kaunas",Kaunas,LT-45447,Kaunas County,Lithuania,2021-03-19
491,UAB Skonio iššūkis,LT 11-08 EB,1,RPM (Meat products),PP - Processing Plant,"Naujoji g. 124-1, Alytus",Alytus,LT-62175,Alytus County,Lithuania,2024-02-29
492,UAB Sraigių delikatesai,520001550,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-18
493,UAB Stilsas,LT29-01,1,RPM (Meat products),PP - Processing Plant,Verdulių g. 4,Šiauliai,LT-78112,Siauliai County,Lithuania,2021-03-17
494,UAB Stoniškių žara,88-33,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Pagėgių sav., Stoniškių sen., Rukai, Vilties g. 1",Rukai,LT-99290,Taurage County,Lithuania,2021-03-17
495,UAB Takažolė,LT 62-04 EB,3,RM (Meat of domestic ungulates) | GM (Meat of farmed game) | RPM (Meat products),SH - Slaughterhouse | CP - Cutting Plant; SH - Slaughterhouse | PP - Processing Plant,"Molėtų r. sav., Čiulėnų sen., Toliejų k., Aukštakalnio g. 5",Toliejai,,Utena County,Lithuania,2025-07-16
496,UAB Tasiga,LT 29-06,1,RPM (Meat products),PP - Processing Plant,Ragainės g.3,Šiauliai,LT-78112,Siauliai County,Lithuania,2021-03-17
497,UAB Tavijuta,LT27-02 EB,1,RPM (Meat products),PP - Processing Plant,Pramonės g. 8,Panevežys,35100,Panevezys County,Lithuania,2021-03-16
498,UAB Tikras dūmas,68-12,1,RPM (Meat products),PP - Processing Plant,"Liepų g. 3, Stanelių k., Plungės r. sav.",Staneliai,LT-90487,Telsiai County,Lithuania,2021-03-23
499,UAB Tisara,LT 85-06,2,GEN (General activity establishment - EU) | RPM (Meat products),CS - Cold Stores | PP - Processing Plant,Naujoji g. 6,Šalčininkėliai,LT-17124,Vilnius County,Lithuania,2021-03-26
500,UAB Tradita,LT 85-17,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | PP - Processing Plant,Naujoji g.11,Mantviliškės,LT-17161,Vilnius County,Lithuania,2021-03-26
501,UAB Transneda,21-42,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,"Šilutės pl. 15A, Klaipėda, Klaipėdos m. sav.",Klaipėda,LT-91109,Klaipeda County,Lithuania,2026-02-19
502,UAB Trinas,190012141,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 96, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-18
503,UAB VALDARAGIS,LT 34-04 EB,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Ateities g. 2  Katlėriai Skiemonių sen, Anykščių sen",Anykšciai,29147,Utena County,Lithuania,2021-03-30
504,UAB VARĖNOS PIENELIS,LT 38-01P EB,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"J. Basanavičiaus g. 52, Varėna",Varėna,LT-65210,Alytus County,Lithuania,2025-03-07
505,UAB VASAKNOS,43-02 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Vasaknos, Dusetų sen., Zarasų r. sav.",Vasaknos,LT-32309,Utena County,Lithuania,2021-03-19
506,UAB VENDITOR,520000991,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Ringaudų sen., Virbališkių k., Verslo g. 3",Dievogalos k.,LT-53424,Kaunas County,Lithuania,2021-03-18
507,UAB VETROLITA,46-03,1,RPM (Meat products),PP - Processing Plant,"Kauno apskr. Jonavos r. sav., Jonavos miesto sen., Jonava, Alksnių g. 14",Jonava,LT-55117,Kaunas County,Lithuania,2021-03-18
508,UAB VIA 3L LT,LT 41-01,1,GEN (General activity establishment - EU),CS - Cold Stores,Minsko pl. 55,Kuprioniškės,LT-13279,Vilnius County,Lithuania,2021-03-25
509,UAB VIKEDA,53-05P; 190011766; 520001360; 520001361,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores | WM - Wholesale Market,"J.Basanavičiaus g 2B, Kėdainiai",Kėdainiai,LT-57151,Kaunas County,Lithuania,2021-03-18
510,UAB VITANEDA,77-11,3,WM (Wild game meat) | RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Tauragės r. sav., Skaudvilės sen., Skaudvilė, Maironio skg. 14",Skaudvilė,LT-73436,Taurage County,Lithuania,2021-03-16
511,UAB VIČIŪNAI IR KO,135571967; 190011844; 520002055; 520001167,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),WM - Wholesale Market,Karaliaus Mindaugo pr. 38.,Kaunas,LT-44307,Kaunas County,Lithuania,2026-02-04
512,UAB VLANTANA,LT 55-09 EB; 55-34,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market | CS - Cold Stores,"Dvaro g.1, LT-92498 Gobergiškės k. Klaipėdos r.",Gobergiškė,LT-96173,Klaipeda County,Lithuania,2026-03-02
513,UAB VPA Logistics,LT 21-36 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,"Stariškės g. 25, Laistų k., Dovilų sen., Klaipėdos r. sav.",Laistai,LT-95369,Klaipeda County,Lithuania,2022-12-07
514,UAB Vadus,190011701,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Pramonės pr. 16F, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-18
515,UAB Vesta inter,19-02,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant; MM - Minced Meat Plant,"Ateities pl.34, Kaunas",Kaunas,LT-52165,Kaunas County,Lithuania,2021-03-19
516,UAB Vievio paukštynas,LT 42-06,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Paukštyno g. 9, Ausieniškės k. Elektrėnų sav. Lietuva",Ausieniškių k.,LT-21365,Vilnius County,Lithuania,2021-03-22
517,UAB Vikonas,LT 34-02 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Panevėžio g. 3B, Janušavos km., Kavarsko sen., Anykščių raj",Janušava,LT-29257,Utena County,Lithuania,2021-03-30
518,UAB Vilniaus Citma,LT 01-34,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,Kirtimų g. 57A,Vilnius,02244,Vilnius County,Lithuania,2021-03-25
519,UAB Vilniaus bakalėja,LT 01-08 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,Kirtimų g. 47,Vilnius,02244,Vilnius County,Lithuania,2021-03-25
520,UAB Vilnė,01-53,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,"Kirtimų g. 57D-101, Vilnius",Vilnius,LT-02244,Vilnius County,Lithuania,2025-10-29
521,UAB Vingės Transsphere logistika,LT 79-02 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,"2 SAUSIU K, LENTVARIS",Vilniškės,LT-14292,Vilnius County,Lithuania,2021-03-25
522,UAB Vipita,190011178,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
523,UAB Vičiūnai ir partneriai,68-11; 520001874; 190011862,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | WM - Wholesale Market,Birutės g. 48,Plungė,LT-90112,Telsiai County,Lithuania,2021-03-22
524,UAB Voveriškiai LT,LT91-03,1,RPM (Meat products),PP - Processing Plant,"Ringuvos g. 6, Voveriškių kaimas, Šiaulių rajonas",Voveriškių k.,LT-77194,Siauliai County,Lithuania,2021-03-17
525,UAB Vytas ir KO,190010758,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
526,UAB Zeinarus,190011743,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 36, Kaunas",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-18
527,UAB Zūbiškių konservai,49-13,2,GM (Meat of farmed game) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Kaštonų g. 3, Zūbiškės, Palemonės sen., Kaišiadorių raj.",Zūbiškės,LT-56176,Kaunas County,Lithuania,2021-03-19
528,UAB jFish,52-19,1,FFP (Fishery products - EU),PP - Processing Plant,"Vingio g. 13, Naujieji Muniškiai, Kauno r.",Naujieji Muniškiai,LT-54317,Kaunas County,Lithuania,2021-03-18
529,UAB Šaldymo technologijos,LT66-08 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,"Nausodės g. 33, Paviešečių k., Panevėžio r.",Paviešečiai,LT-38365,Panevezys County,Lithuania,2021-03-16
530,UAB Šerno pėda,LT27-07 EB,1,RPM (Meat products),PP - Processing Plant,"Stoties g. 42, LT-35106, Panevėžys",Panevežys,35100,Panevezys County,Lithuania,2021-03-16
531,UAB Švaistūnas,19-08,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Vandžiogalos pl. 98, Kaunas",Kaunas,LT-47470,Kaunas County,Lithuania,2021-03-19
532,UAB Žemaira,LT 54-17,1,RPM (Meat products),PP - Processing Plant,"Žemaitės g.18a, Užvenčio mstl., Užvenčio sen., Kelmės r. sav., LT-86343",Kelmė,LT-86137,Siauliai County,Lithuania,2021-03-19
533,UAB Žemaitijos pienas,LT 01-12,1,GEN (General activity establishment - EU),CS - Cold Stores; RW - Re-wrapping Establishment; WM - Wholesale Market,Algirdo g. 40/13,Vilnius,03230,Vilnius County,Lithuania,2021-03-25
534,UAB Žuvies šaldytuvai,LT 01-21,1,GEN (General activity establishment - EU),CS - Cold Stores,V.A. Graičiūno g. 22,Vilnius,02241,Vilnius County,Lithuania,2021-03-25
535,UAB „Gardama“,LT 88-07 EB,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant | CS - Cold Stores | CP - Cutting Plant | PP - Processing Plant,"Liepų g. 2, Gardamas, LT-99417 Šilutės r.",Gardamas,LT-99417,Klaipeda County,Lithuania,2021-03-17
536,UAB „Gilanda“,LT 88-03 EB,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Šilojų g. 2A, Traksėdžių k., LT-99106 Šilutės r.",Traksėdžiai,LT-99104,Klaipeda County,Lithuania,2021-03-17
537,UAB „Jūros Vėjas“,LT 88-06 EB,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),FFPP - Fresh Fishery Products Plant | CS - Cold Stores,"K. Donelaičio g. 9F, Rusnė, LT-99344, Šilutės r. sav.",Rusnė,LT-99350,Klaipeda County,Lithuania,2021-03-18
538,UAB „Kintai“,LT 88-05 EB,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),FFPP - Fresh Fishery Products Plant; PP - Processing Plant | CS - Cold Stores,"Povilų g. 1, Povilai, Kintų sen., LT- 99360, Šilutės r. sav.,",Povilai,,Klaipeda County,Lithuania,2021-03-18
539,UAB „Marlinas“ žuvų perdirbimo laivą „VILKAS“,LT 21-40 EB,1,FFP (Fishery products - EU),FV - Factory Vessel; ZV - Freezer Vessel,"Pylimo g. 4, Klaipėda",Klaipėda,LT-91249,Klaipeda County,Lithuania,2025-04-23
540,UAB „Pas Virgą“,LT 88-09 EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant,"Pergalės a. 2, Žemaičių Naumiestis, LT-99206 Šilutės r.",Žemaičių Naumiestis,LT-99207,Klaipeda County,Lithuania,2021-03-17
541,"UAB, PRODINVEST EU",130016966,1,GEN (General activity establishment - EU),CS - Cold Stores,"Nemėžio sen., Kupriotiškės, Terminalo g. 6",Vilnius,02243,Vilnius County,Lithuania,2021-12-14
542,"UAB,,D. Gelombickienė ir partneriai""",LT49-03EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant | PP - Processing Plant,"Šlaito aklg. 2, Rumšiškių mstl., Kaišiadorių r. sav.",Dovainonys,LT-56335,Kaunas County,Lithuania,2021-03-18
543,"UAB“Aisytės Mėsinė""",LT88-08 EB,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant | CS - Cold Stores | CP - Cutting Plant | PP - Processing Plant,"Klaipėdos apskr., Šilutės r. sav., Saugų sen., Sakūtėliai, Žolynų g. 8",Sakūtėliai,LT-99402,Klaipeda County,Lithuania,2021-03-17
544,UAB“Rusnės Žuvis“,LT88-02 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Kūdros g. 27, Grabupių k., Šilutės r.sav.",Grabupiai,LT-99152,Klaipeda County,Lithuania,2021-03-17
545,"Utenos prekyba, UAB",82-03,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MM - Minced Meat Plant | PP - Processing Plant,Molėtų g. 72,Utena,28135,Utena County,Lithuania,2021-03-18
546,"Uždaroji akcinė bendrovė ""Birvėtos tvenkiniai""",LT45-02EB,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,"Kalno g.65, Dysnos k., Didžiasalio sen., Ignalinos r. sav., LT-30151",Dysna,,Utena County,Lithuania,2021-03-19
547,"Uždaroji akcinė bendrovė ""Romnesa""",LT45-10EB,1,"CAS (Treated stomachs, bladders and intestines: casings only)",PP - Processing Plant,"Liepų g.4, Ceikinių k., Ceikinių  sen., Ignalinos r.sav, LT-30185",Ceikiniai,,Utena County,Lithuania,2021-03-19
548,V. Baliūno individuali įmonė,LT 66-21 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Durpyno g.6, Paežerio k., Panevėžio r.",Paežerys I,LT-35115,Panevezys County,Lithuania,2025-04-24
549,V. Kartenio firma „Elektrėnų mėsa“,LT 79-20,3,RM (Meat of domestic ungulates) | GM (Meat of farmed game) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"Elektrėnų sav., Kietaviškių sen., Obenių k.",Obeniai,LT-26110,Vilnius County,Lithuania,2023-06-13
550,V. Urbono Mėsos Gamybos Įmonė,LT 55-24 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Verslo g. 11, Kretingalė, LT- 96332 Klaipėdos r.",Kretingalė,LT-96337,Klaipeda County,Lithuania,2021-03-15
551,V. Vinckevičiaus PĮ,LT 79-004 V,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant; MM - Minced Meat Plant,Trakų g. 13,Rūdiškės,LT-21171,Vilnius County,Lithuania,2021-03-26
552,V.Kavoliūnienės įmonė,46-06,1,RPM (Meat products),PP - Processing Plant,"Kauno apskr., Jonavos r. sav., Šilų sen., Praulių k., Saulės g. 20",Prauliai,LT-55461,Kaunas County,Lithuania,2021-03-18
553,VALERIJOS DUKNAUSKIENĖS IĮ,LT 81-301M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Aušros g. 31,Ukmergė,LT-20133,Vilnius County,Lithuania,2021-06-21
554,VESTEY FOODS BALTICS UAB,LT 27-11 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,Kėdainių g. 25,Panevėžys,LT-36255,Panevezys County,Lithuania,2023-08-01
555,VG MARINE FOODS UAB,68-17; 302629799,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | WM - Wholesale Market,"Birutės skrg. 10, Macenių k., Nausodžio sen., Plungės r. sav.",Maceniai,LT-90100,Telsiai County,Lithuania,2026-02-17
556,VILNIAUS TRANZITAS; UAB,01-30,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,J.Dobkevičiaus str. 7,Vilnius,02189,Vilnius County,Lithuania,2021-03-10
557,Vaidanto Jurgelevičiaus įmonė,LT45-07EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Pusvarsnėliai 8., Linkmenų sen., Ignalinos r. sav., LT-30216",Pusvarsnėliai,,Utena County,Lithuania,2025-04-24
558,Vaidos Vinčiauskienės ūkis,48-027,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,"Žalioji g. 9, Mikalaukos k., Kalvarijos sen., Kalvarijos sav.",Mikalauka,,Marijampole County,Lithuania,2022-03-31
559,Valdo Saukaičio IĮ,LT 39-26,1,RPM (Meat products),PP - Processing Plant,"Pievu g. 4, Kybartų k., Kybartų sen., Vilkaviškio r. sav.",Kybartai,LT-70412,Marijampole County,Lithuania,2021-03-09
560,"Van Hessen Lithuania, UAB",LT 01-17,1,"CAS (Treated stomachs, bladders and intestines: casings only)",PP - Processing Plant,Titnago g. 15,Vilnius,02300,Vilnius County,Lithuania,2021-03-25
561,Vidos Monkevič TŪB Baltupėnai,LT 29-12,1,RPM (Meat products),PP - Processing Plant,Baltupėnų g. 8,Šiauliai,,Siauliai County,Lithuania,2021-03-17
562,Vingės terminalas; UAB,LT 41-06,1,GEN (General activity establishment - EU),CS - Cold Stores,Minsko pl. 202,Bareikiškiu k.,13176,,Lithuania,2021-03-25
563,Virginijus Monkevičius,LT 41-016 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Jadvygiškių g. 39,Jadvygiškės,LT-14257,Vilnius County,Lithuania,2021-03-26
564,Vitalija Ginelevičienė,520001690,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Sodų g. 1, Domeikava, Domeikavos sen., Kauno r.",Domeikava,LT-54358,Kaunas County,Lithuania,2021-03-19
565,Vladislav Bojarun,LT 85-01,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CS - Cold Stores,Lakštingalų g. 4,Buikų k.,LT-17245,Vilnius County,Lithuania,2021-03-19
566,Vytautas Šimkus,87-15,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Jūros g. 6, Drobūkščių k., Traksėdžio sen., Šilalės r.",Drobūkščiai,,Taurage County,Lithuania,2025-12-02
567,Z.Selsko firma „Germėsa“,LT 79-14,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant | PP - Processing Plant,Liepų  g. 40,Vievis,LT-31383,Vilnius County,Lithuania,2021-03-22
568,Zarasų rajono žemės ūkio bendrovė SPARNAI,43-70 EB,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Liaudiškiai, Zarasų sen., Zarasų r. sav.",Liaudiškiai,LT-32100,Utena County,Lithuania,2021-03-19
569,uab alsių paukštynas,LT-47-26 EB,2,GEN (General activity establishment - EU) | RPM (Meat products),CS - Cold Stores; RW - Re-wrapping Establishment; WM - Wholesale Market | PP - Processing Plant,"Joniškis, V. Kudirkos 2,",Joniškis,LT-84133,Siauliai County,Lithuania,2024-09-25
570,Č. Zachaževskij IĮ,LT 79-05,3,GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | GM (Meat of farmed game),CS - Cold Stores | SH - Slaughterhouse,"Kranto g. 7, Paluknio k., Paluknio sen., Trakų r.",Trakai,LT-21110,Vilnius County,Lithuania,2023-06-13
571,ĮI AIRONA,77-09,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Tauragės r. sav., Skaudvilės sen., Šidagiai",Tauragė,LT-72185,Taurage County,Lithuania,2021-03-16
572,Šakių rajono Grinaičių ŽŪB 89-05P,CC,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre; PP - Processing Plant,"Kalnalaukio g. 1, Širvintos",Širvintos,LT-19107,Vilnius County,Lithuania,2023-08-29
573,ŪKININKĖ DIANA ALARBIED MAJEVSKAJA,LT 72-05,1,RPM (Meat products),PP - Processing Plant,"Viduklės sen., Raseinių r.",Paalsys,LT-60352,Kaunas County,Lithuania,2021-03-19
574,ŪKININKĖs LAIMUTĖS SUGINTIENĖS ŪKIS,77-06,1,RM (Meat of domestic ungulates),SH - Slaughterhouse; CP - Cutting Plant,"Tauragės apskr., Tauragės r. sav., Žygaičių sen., Girininkai 6",Tauragė,LT-72253,Taurage County,Lithuania,2021-03-16
575,ŪKININKŲ LAIMOS IR IMEDO MONKŲ MĖSOS CH.,87-04,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Svirno g. 8, 75117 Lingiškė, Traksėdžio sen., Šilalės r. sav.",Šilalė,,Taurage County,Lithuania,2021-10-20
576,Ūkininkas  Valentin Juchnevič,LT 85-001,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,Anuliškių g. 7,Anuliškės,,Vilnius County,Lithuania,2021-03-26
577,Ūkininkas Aivaras Pliatkus,711344901728,1,FLS (Frogs' legs and snails),PP - Processing Plant,"Radviliškio r. sav. Aukštelkų sen. Aukštelkų k. Liaudiškių g. 4, LITHUANIA",Aukštelkai,LT-82486,Siauliai County,Lithuania,2024-03-04
578,Ūkininkas Artūras Tkačenka,LT 41-010 M,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,"Vilniaus r., Padvarionių k., Medininkų sen.",Padvarionys,LT-21103,Vilnius County,Lithuania,2021-03-24
579,Ūkininkas Donatas Čepelis,LT 81-303 M; LT 81-04,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GM (Meat of farmed game)",MP - Meat Preparation Plant | SH - Slaughterhouse,Vidiškių sen.Baublių k.,Baubliai,LT-20179,Vilnius County,Lithuania,2021-03-22
580,Ūkininkas Eimantas Vasiliauskas,61-10,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates)",MM - Minced Meat Plant | CP - Cutting Plant,"A. Baranausko g. 12A, Mažeikiai, Mažeikių sen., Mažeikių r. sav., Telšių apskr.",Mažeikiai,LT-89224,Telsiai County,Lithuania,2021-03-15
581,Ūkininkas Gediminas Varevičius,LT 81-001 K,1,EEP (Eggs and egg products),PP - Processing Plant,"Dvarninių k., Šešuolių sen.",Dvarniniai,,Vilnius County,Lithuania,2021-03-22
